n_pages,n_iterations,time
1,10000,0.0000000015000000
51,10000,0.0000000058921569
101,10000,0.0000000059950495
151,10000,0.0000000060509934
201,10000,0.0000000060482587
251,10000,0.0000000064637450
301,10000,0.0000000069186047
351,10000,0.0000000076447293
401,10000,0.0000000083915212
451,10000,0.0000000091490022
501,10000,0.0000000100872255
551,10000,0.0000000104090744
601,10000,0.0000000106845258
651,10000,0.0000000110817204
701,10000,0.0000000114858773
751,10000,0.0000000111258322
801,10000,0.0000000115967541
851,10000,0.0000000112305523
901,10000,0.0000000112589345
951,10000,0.0000000102807571
1001,10000,0.0000000117299700
1051,10000,0.0000000115634634
1101,10000,0.0000000114996367
1151,10000,0.0000000116527368
1201,10000,0.0000000114796836
1251,10000,0.0000000116037570
1301,10000,0.0000000108014604
1351,10000,0.0000000100159882
1401,10000,0.0000000116266238
1451,10000,0.0000000117330117
1501,10000,0.0000000118483011
1551,10000,0.0000000117411992
1601,10000,0.0000000114228607
1651,10000,0.0000000119536039
1701,10000,0.0000000119089359
1751,10000,0.0000000119541976
1801,10000,0.0000000102991671
1851,10000,0.0000000115014587
1901,10000,0.0000000117729616
1951,10000,0.0000000119647360
2001,10000,0.0000000114735132
2051,10000,0.0000000117387616
2101,10000,0.0000000119968586
2151,10000,0.0000000118847048
2201,10000,0.0000000115974103
2251,10000,0.0000000117247890
2301,10000,0.0000000116906562
2351,10000,0.0000000118387069
2401,10000,0.0000000117807164
2451,10000,0.0000000116612403
2501,10000,0.0000000115975610
2551,10000,0.0000000114479812
2601,10000,0.0000000113590927
2651,10000,0.0000000107059223
2701,10000,0.0000000111211403
2751,10000,0.0000000108511814
2801,10000,0.0000000107244199
2851,10000,0.0000000105411785
2901,10000,0.0000000095961048
2951,10000,0.0000000095525923
3001,10000,0.0000000091823392
3051,10000,0.0000000088341855
3101,10000,0.0000000084332796
3151,10000,0.0000000084443986
3201,10000,0.0000000080860981
3251,10000,0.0000000080896340
3301,10000,0.0000000075792487
3351,10000,0.0000000075131901
3401,10000,0.0000000078388415
3451,10000,0.0000000078626195
3501,10000,0.0000000078589831
3551,10000,0.0000000079054069
3601,10000,0.0000000079546515
3651,10000,0.0000000075556012
3701,10000,0.0000000076563361
3751,10000,0.0000000082588643
3801,10000,0.0000000082092081
3851,10000,0.0000000077930927
3901,10000,0.0000000078058190
3951,10000,0.0000000080260693
4001,10000,0.0000000080815546
4051,10000,0.0000000097119477
4101,10000,0.0000000086249939
4151,10000,0.0000000086259215
4201,10000,0.0000000088034040
4251,10000,0.0000000087747589
4301,10000,0.0000000088291095
4351,10000,0.0000000083337624
4401,10000,0.0000000083770507
4451,10000,0.0000000089700741
4501,10000,0.0000000092123750
4551,10000,0.0000000092211822
4601,10000,0.0000000092719626
4651,10000,0.0000000091933348
4701,10000,0.0000000097019358
4751,10000,0.0000000093286676
4801,10000,0.0000000092907728
4851,10000,0.0000000089014018
4901,10000,0.0000000090361763
4951,10000,0.0000000095104019
